,SubSystem,StartStn,EndStn,EntTime,EntTimeHHMM,ExTime,ExTimeHHMM,JourneyLength,StartLat,StartLong,EndLat,EndLong,HH,datetime,Wind Speed,Temperature[°C],DewPoint[°C],Rainfall,WeekDay
40,LUL,Goodge Street,Charing Cross,1013,16:53,1024,17:04,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
41,LUL,Goodge Street,Charing Cross,1013,16:53,1024,17:04,11,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
42,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
43,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-02 16:00:00,11.0,11.11,3.335,0.0,Mon
44,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-03 16:00:00,15.0,12.22,6.11,0.0,Tue
45,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-04 16:00:00,12.0,10.555,5.0,0.2,Wed
46,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-05 16:00:00,13.0,12.22,5.0,0.0,Thu
47,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-06 16:00:00,10.5,11.665,7.5,0.0,Fri
48,LUL,Goodge Street,Charing Cross,1015,16:55,1027,17:07,12,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-07 16:00:00,,,,0.0,Sat
49,LUL,Goodge Street,Charing Cross,1016,16:56,1024,17:04,8,51.52061310945721,-0.13480769016588698,51.5083586300048,-0.124802938133095,16,2009-11-01 16:00:00,19.5,13.89,7.78,0.0,Sun
